epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,426.878,2.68849,1.6318,1.03815,0.37533,0.47698,0.45188,0.17328,2.51039,4.8065,1.04031,0.0677857,0.000325397,0.000325397
2,832.533,2.44101,1.18378,0.98128,0.57535,0.52192,0.54831,0.22038,2.23289,1.39553,0.97387,0.0347792,0.000652209,0.000652209
3,1234.51,2.41716,1.17823,0.96511,0.5933,0.55158,0.58795,0.25199,2.09424,1.11923,0.95395,0.00176607,0.000972421,0.000972421
4,1627.62,2.36155,1.1218,0.95853,0.66027,0.51773,0.59154,0.25876,2.07395,1.26261,0.94155,0.0009703,0.0009703,0.0009703
5,2034.58,2.35707,1.12915,0.96017,0.66583,0.53774,0.60749,0.25677,2.11549,1.0448,0.94811,0.0009604,0.0009604,0.0009604
6,2427.64,2.36909,1.11801,0.95939,0.66122,0.53882,0.60792,0.25209,2.09674,1.05507,0.95009,0.0009505,0.0009505,0.0009505
7,2817.5,2.29196,1.09055,0.95228,0.63257,0.54035,0.60315,0.28096,2.02701,1.05194,0.95006,0.0009406,0.0009406,0.0009406
8,3208.95,2.27334,1.08425,0.95191,0.67073,0.54968,0.62431,0.29332,1.98088,0.97882,0.93943,0.0009307,0.0009307,0.0009307
9,3604.82,2.27848,1.06883,0.94652,0.64026,0.56479,0.61312,0.28058,1.99495,0.98676,0.93554,0.0009208,0.0009208,0.0009208
10,4022.31,2.26515,1.07575,0.94779,0.65512,0.55486,0.62972,0.29827,1.94358,0.98274,0.93049,0.0009109,0.0009109,0.0009109
11,4413.68,2.26936,1.08331,0.9419,0.64865,0.5671,0.62766,0.2822,2.00018,0.97873,0.93484,0.000901,0.000901,0.000901
12,4811.59,2.25828,1.05229,0.95068,0.66819,0.54697,0.62756,0.28334,1.98333,1.04603,0.93335,0.0008911,0.0008911,0.0008911
13,5205.8,2.2579,1.05061,0.94483,0.66182,0.56859,0.63906,0.29716,1.95157,0.96099,0.92939,0.0008812,0.0008812,0.0008812
14,5591.33,2.22334,1.03966,0.94116,0.68306,0.55651,0.64065,0.30191,1.9257,0.95865,0.92759,0.0008713,0.0008713,0.0008713
15,5986.13,2.24298,1.04035,0.94447,0.6611,0.57258,0.65056,0.29638,2.01779,0.96764,0.94122,0.0008614,0.0008614,0.0008614
16,6382.06,2.24028,1.03319,0.93883,0.6658,0.56529,0.64271,0.29518,1.9293,0.95297,0.92393,0.0008515,0.0008515,0.0008515
17,6811.47,2.20004,1.01291,0.94015,0.67493,0.55855,0.63623,0.3032,1.95217,0.93962,0.93993,0.0008416,0.0008416,0.0008416
18,7204.4,2.19144,1.01355,0.9336,0.69241,0.56598,0.64466,0.30501,1.91769,0.94866,0.92592,0.0008317,0.0008317,0.0008317
19,7630.06,2.21026,1.01865,0.93347,0.68615,0.56264,0.64051,0.29754,1.95841,0.94384,0.93177,0.0008218,0.0008218,0.0008218
20,8019.79,2.16921,1.01504,0.93651,0.68278,0.57593,0.65659,0.30562,1.9478,0.94267,0.93112,0.0008119,0.0008119,0.0008119
21,8446.77,2.18923,1.00871,0.93364,0.70208,0.56944,0.66642,0.31531,1.88811,0.91813,0.92079,0.000802,0.000802,0.000802
22,8869.52,2.1639,0.99845,0.93723,0.69668,0.55547,0.63456,0.30303,1.91452,0.9333,0.92842,0.0007921,0.0007921,0.0007921
23,9289.57,2.24872,1.0315,0.93338,0.68942,0.56954,0.64398,0.29996,1.95994,0.93595,0.94329,0.0007822,0.0007822,0.0007822
24,9696.78,2.17494,1.01017,0.93489,0.67823,0.57212,0.64642,0.30295,1.92216,0.94887,0.92429,0.0007723,0.0007723,0.0007723
25,10116.9,2.15462,0.99887,0.93386,0.67906,0.58068,0.65789,0.30463,1.89768,0.94027,0.92011,0.0007624,0.0007624,0.0007624
26,10544.9,2.14862,0.99691,0.92463,0.67471,0.57788,0.65743,0.31348,1.87799,0.91507,0.92008,0.0007525,0.0007525,0.0007525
27,10965.9,2.15239,0.99595,0.93288,0.69637,0.58815,0.67176,0.31799,1.88822,0.93589,0.92188,0.0007426,0.0007426,0.0007426
28,11370.5,2.13468,0.98531,0.93177,0.68479,0.58907,0.66035,0.30235,1.90679,0.92059,0.91927,0.0007327,0.0007327,0.0007327
29,11798.1,2.13608,0.98236,0.92966,0.68296,0.57355,0.65561,0.31319,1.88658,0.9208,0.91949,0.0007228,0.0007228,0.0007228
30,12225.3,2.14318,0.98797,0.92726,0.67973,0.59009,0.66122,0.3152,1.86093,0.91855,0.91593,0.0007129,0.0007129,0.0007129
31,12653.8,2.14329,0.98266,0.92649,0.70418,0.5625,0.65653,0.31736,1.86972,0.90866,0.91983,0.000703,0.000703,0.000703
32,13085.8,2.10886,0.96399,0.92391,0.70011,0.58034,0.66675,0.31661,1.88497,0.90522,0.92209,0.0006931,0.0006931,0.0006931
